loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState,batteryLevel,label
2020-12-05 18:17:00.000 +0530,1607172417.999991,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353810767699346,4.751472442017607,-9999,9400.19382975,-0.1487884521484375,-0.0170745849609375,-0.9498291015625,9398.58531875,0.6117503631615638,-0.1354314499726201,0.02431498496787982,-0.2380260676145554,0.07715156674385071,-0.03156251832842827,-0.07234324514865875,-0.03110728785395622,0.03628087043762207,XArbitraryZVertical,0.03194034531259774,-0.06086603638813942,0.2996311168175584,0.9515755927306119,-0.1349779069423676,-0.0243125893175602,-0.9905502796173096,9390.284747625001,unknown,2,2020-12-05 18:16:50.081 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865218.6602236,0,3.1,94.5918,1,1,0
2020-12-05 18:17:04.999 +0530,1607172423.999984,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353826189927212,4.751461556252682,-9999,9405.194135375001,-0.1389312744140625,0.1045684814453125,-0.982391357421875,9403.58062425,0.5880290445547849,-0.1300963764904105,-0.1097415813857946,-0.01606110669672489,0.006781706586480141,0.002972169313579798,-0.00364956259727478,-0.01053763926029205,-0.002849161624908447,XArbitraryZVertical,-0.03356971121799313,-0.07797912361872171,0.2921606693575259,0.9525934568974347,-0.1289493143558502,0.1095214411616325,-0.9855846762657166,9390.284747625001,unknown,2,2020-12-05 18:16:50.081 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865223.7890654,0,3.09,94.59258,1,1,0
2020-12-05 18:17:10.001 +0530,1607172423.999984,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353826189927212,4.751461556252682,-9999,9410.194438416667,-0.1449432373046875,0.1007080078125,-0.9786224365234375,9408.575933,0.591916165619494,-0.1405227668378823,-0.1030145052491668,0.005555468145757914,0.001479574479162693,0.001237393589690328,-0.0004522353410720825,0.003292493522167206,0.002746701240539551,XArbitraryZVertical,-0.02867641876928274,-0.08204103805104092,0.2940082320645618,0.9518434486070346,-0.1393182426691055,0.1028324067592621,-0.9848938584327698,9408.187231,stationary,0,2020-12-05 18:17:07.984 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865228.9182802,0,3.03,94.5927,1,1,0
2020-12-05 18:17:15.000 +0530,1607172429.999977,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353764349026539,4.751505206141253,-9999,9415.194735500001,-0.1658172607421875,0.1523284912109375,-0.970062255859375,9413.571258125001,0.6032113088530118,-0.16201025279264,-0.1275188977655103,0.01035391353070736,-0.00981280580163002,-0.00464700860902667,0.002659395337104797,-0.002692341804504395,0.003931522369384766,XArbitraryZVertical,-0.03665292097378874,-0.09597215481999644,0.3004010678985907,0.9482641801630121,-0.1599927544593811,0.1271735727787018,-0.9788917899131775,9413.302490125001,unknown,2,2020-12-05 18:17:13.099 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865234.047543,0,3,94.59249,1,1,0
2020-12-05 18:17:20.001 +0530,1607172435.999967,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353683936478759,4.751561962870017,-9999,9420.195021416666,-0.1381072998046875,0.213226318359375,-0.9644775390625,9418.566542125001,0.6066695351362336,-0.1427695984815452,-0.2827251867943039,-0.05722159147262573,-0.02500995621085167,-0.003335254034027457,0.003488004207611084,-0.02540314197540283,-0.003390014171600342,XArbitraryZVertical,-0.1130251367490125,-0.1093669094092023,0.3045618937347455,0.9394179681598087,-0.1366361826658249,0.2789736688137054,-0.9505283832550049,9413.302490125001,unknown,2,2020-12-05 18:17:13.099 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865239.176905,0,3.11,94.59282,1,1,0
2020-12-05 18:17:25.001 +0530,1607172441.999954,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353725185596559,4.75153284870095,-9999,9425.195325875,-0.1661529541015625,0.1678466796875,-0.9664459228515625,9423.561849416667,0.6410787545828481,-0.1696592725122802,-0.1675039411587763,0.05100889503955841,-0.01901731267571449,0.02453064173460007,-0.002706095576286316,0.003902047872543335,0.006545782089233398,XArbitraryZVertical,-0.05250535595100509,-0.1063933533619035,0.3195719546419541,0.9401048849559971,-0.1664833426475525,0.1667217463254929,-0.9718472957611084,9413.302490125001,unknown,2,2020-12-05 18:17:13.099 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865244.3062698,0,3.06,94.59344,1,1,0
2020-12-05 18:17:30.002 +0530,1607172447.999941,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353739710873556,4.751522596441966,-9999,9430.195620666667,-0.1749725341796875,0.166290283203125,-0.9704132080078125,9428.557177375,0.6428824117576803,-0.1712397344346925,-0.170148826093108,0.05235358327627182,0.03575234860181808,0.01011009979993105,-0.007837861776351929,0.01040427386760712,-0.005249619483947754,XArbitraryZVertical,-0.05340483843137772,-0.1075890346139812,0.3205327500877856,0.9395909863471276,-0.1679433733224869,0.1693290323019028,-0.9711450338363647,9413.302490125001,unknown,2,2020-12-05 18:17:13.099 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865249.4349955,0,3.08,94.59315,1,1,0
2020-12-05 18:17:35.001 +0530,1607172453.999928,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353667242516305,4.751573745535465,-9999,9435.195915291668,-0.17718505859375,0.173095703125,-0.962921142578125,9433.55247375,0.6461771315702804,-0.1688514707856824,-0.162265591538841,0.00792204774916172,0.009240802377462387,-0.003690637648105621,0.0002696067094802856,0.006582170724868774,0.001515567302703857,XArbitraryZVertical,-0.04989182846818913,-0.1053389068839211,0.321805801991752,0.9396038354944914,-0.1658427268266678,0.1615544557571411,-0.9728290438652039,9431.206086625001,stationary,0,2020-12-05 18:17:31.002 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865254.5642765,0,3.15,94.5933,1,1,0
2020-12-05 18:17:40.003 +0530,1607172453.999928,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353667242516305,4.751573745535465,-9999,9440.196207750001,-0.1782379150390625,0.168731689453125,-0.9700927734375,9438.547769750001,0.6462237273847548,-0.17326747098755,-0.1701446641429869,-0.003189610783010721,0.004350972361862659,0.003663503564894199,-0.003427460789680481,0.0008258521556854248,0.005654275417327881,XArbitraryZVertical,-0.05289645853663839,-0.1086294963482686,0.3221557403098055,0.9389446589503369,-0.1699123680591583,0.1693249195814133,-0.9708032011985779,9438.878641750001,stationary,0,2020-12-05 18:17:38.675 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865259.6934506,0,3.07,94.59354,1,1,0
2020-12-05 18:17:45.003 +0530,1607172459.999914,24.61861655117616,73.68846983655699,584.7025,0,-1,3.353623689015503,4.751604485356803,-9999,9445.196525750001,-0.147674560546875,0.14971923828125,-0.97271728515625,9443.54305925,0.6440572358527146,-0.1828275389966771,-0.1811625531029717,0.004177700728178024,-0.004068987444043159,0.005650872364640236,-0.004666820168495178,-0.002255722880363464,0.003023087978363037,XArbitraryZVertical,-0.05667628415233206,-0.1147484435423975,0.321711085749032,0.9381483948233171,-0.1788353621959686,0.1801732182502747,-0.9672411680221558,9443.994323250001,stationary,0,2020-12-05 18:17:43.791 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628865264.8227879,0,3.02,94.59358,1,1,0
