timestamp (Asia/Kolkata),heartrate
2020-12-05T18:19:55+05:30,94
2020-12-05T18:19:59+05:30,97
2020-12-05T18:20:05+05:30,105
2020-12-05T18:20:10+05:30,103
2020-12-05T18:20:16+05:30,99
2020-12-05T18:20:20+05:30,98
2020-12-05T18:20:23+05:30,99
2020-12-05T18:20:31+05:30,93
2020-12-05T18:20:33+05:30,94
2020-12-05T18:20:41+05:30,90
2020-12-05T18:20:47+05:30,91
2020-12-05T18:20:48+05:30,91
2020-12-05T18:20:56+05:30,93
2020-12-05T18:20:58+05:30,94
2020-12-05T18:21:04+05:30,95
2020-12-05T18:21:10+05:30,93
2020-12-05T18:21:14+05:30,93
2020-12-05T18:21:21+05:30,100
2020-12-05T18:21:27+05:30,100
2020-12-05T18:21:32+05:30,100
2020-12-05T18:21:37+05:30,99
2020-12-05T18:21:39+05:30,99
2020-12-05T18:21:43+05:30,98
2020-12-05T18:21:49+05:30,97
2020-12-05T18:21:54+05:30,98
2020-12-05T18:22:00+05:30,95
2020-12-05T18:22:07+05:30,98
2020-12-05T18:22:11+05:30,97
2020-12-05T18:22:13+05:30,100
2020-12-05T18:22:22+05:30,99
2020-12-05T18:22:26+05:30,95
2020-12-05T18:22:31+05:30,99
2020-12-05T18:22:36+05:30,103
2020-12-05T18:22:40+05:30,105
2020-12-05T18:22:47+05:30,101
2020-12-05T18:22:48+05:30,101
2020-12-05T18:22:53+05:30,100
2020-12-05T18:23:02+05:30,91
2020-12-05T18:23:06+05:30,91
2020-12-05T18:23:11+05:30,93
2020-12-05T18:23:14+05:30,92
2020-12-05T18:23:20+05:30,90
2020-12-05T18:23:23+05:30,92
2020-12-05T18:23:31+05:30,97
2020-12-05T18:23:36+05:30,95
2020-12-05T18:23:38+05:30,95
2020-12-05T18:23:43+05:30,97
2020-12-05T18:23:48+05:30,102
2020-12-05T18:23:57+05:30,93
2020-12-05T18:24:00+05:30,91
2020-12-05T18:24:07+05:30,103
2020-12-05T18:24:12+05:30,93
2020-12-05T18:24:17+05:30,96
2020-12-05T18:24:22+05:30,94
2020-12-05T18:24:23+05:30,94
2020-12-05T18:24:32+05:30,99
2020-12-05T18:24:34+05:30,98
2020-12-05T18:24:40+05:30,92
2020-12-05T18:24:43+05:30,92
2020-12-05T18:24:49+05:30,103
2020-12-05T18:24:56+05:30,93
2020-12-05T18:25:02+05:30,94
2020-12-05T18:25:06+05:30,96
2020-12-05T18:25:09+05:30,99
2020-12-05T18:25:13+05:30,103
2020-12-05T18:25:22+05:30,91
2020-12-05T18:25:27+05:30,91
2020-12-05T18:25:32+05:30,94
2020-12-05T18:25:37+05:30,98
2020-12-05T18:25:39+05:30,98
2020-12-05T18:25:47+05:30,89
2020-12-05T18:25:51+05:30,90
2020-12-05T18:25:54+05:30,92
2020-12-05T18:26:02+05:30,95
2020-12-05T18:26:07+05:30,93
2020-12-05T18:26:08+05:30,93
2020-12-05T18:26:13+05:30,94
2020-12-05T18:26:22+05:30,92
2020-12-05T18:26:27+05:30,93
2020-12-05T18:26:30+05:30,92
2020-12-05T18:26:33+05:30,93
2020-12-05T18:26:38+05:30,96
2020-12-05T18:26:47+05:30,94
2020-12-05T18:26:50+05:30,94
2020-12-05T18:26:53+05:30,94
2020-12-05T18:27:02+05:30,93
2020-12-05T18:27:06+05:30,93
2020-12-05T18:27:08+05:30,91
2020-12-05T18:27:14+05:30,92
2020-12-05T18:27:21+05:30,93
2020-12-05T18:27:26+05:30,98
2020-12-05T18:27:31+05:30,89
2020-12-05T18:27:33+05:30,90
2020-12-05T18:27:42+05:30,93
2020-12-05T18:27:43+05:30,93
2020-12-05T18:27:51+05:30,95
2020-12-05T18:27:54+05:30,89
2020-12-05T18:27:58+05:30,89
2020-12-05T18:28:07+05:30,95
2020-12-05T18:28:11+05:30,96
2020-12-05T18:28:14+05:30,98
2020-12-05T18:28:21+05:30,92
2020-12-05T18:28:23+05:30,91
2020-12-05T18:28:52+05:30,70
2020-12-05T18:32:24+05:30,95
2020-12-05T18:32:28+05:30,96
2020-12-05T18:32:34+05:30,96
2020-12-05T18:32:38+05:30,96
2020-12-05T18:32:40+05:30,96
2020-12-05T18:32:49+05:30,88
2020-12-05T18:32:54+05:30,92
2020-12-05T18:32:57+05:30,92
2020-12-05T18:33:00+05:30,95
2020-12-05T18:33:09+05:30,92
2020-12-05T18:34:03+05:30,95
2020-12-05T18:34:08+05:30,95
2020-12-05T18:35:21+05:30,92
2020-12-05T18:37:24+05:30,89
2020-12-05T18:44:13+05:30,88
2020-12-05T18:47:05+05:30,88
2020-12-05T18:55:12+05:30,83
2020-12-05T18:58:49+05:30,74
2020-12-05T19:05:26+05:30,92
2020-12-05T19:06:53+05:30,90
2020-12-05T19:13:28+05:30,83
2020-12-05T19:16:22+05:30,85
2020-12-05T19:26:02+05:30,80
2020-12-05T19:28:27+05:30,82
2020-12-05T19:31:45+05:30,77
2020-12-05T19:40:15+05:30,77
2020-12-05T19:42:06+05:30,79
2020-12-05T19:47:35+05:30,76
2020-12-05T19:55:52+05:30,80
2020-12-05T19:57:53+05:30,78
2020-12-05T20:02:14+05:30,76
2020-12-05T20:08:58+05:30,78
2020-12-05T20:11:40+05:30,80
2020-12-06T08:22:49+05:30,116
2020-12-06T08:22:51+05:30,116
2020-12-06T08:22:55+05:30,115
2020-12-06T08:23:00+05:30,117
2020-12-06T08:23:08+05:30,117
2020-12-06T08:23:14+05:30,115
2020-12-06T08:23:15+05:30,115
2020-12-06T08:23:31+05:30,116
2020-12-06T08:23:39+05:30,116
2020-12-06T08:23:41+05:30,116
2020-12-06T08:23:47+05:30,118
2020-12-06T08:23:54+05:30,118
2020-12-06T08:23:56+05:30,117
2020-12-06T08:24:01+05:30,115
2020-12-06T08:24:07+05:30,116
2020-12-06T08:24:12+05:30,114
2020-12-06T08:24:19+05:30,115
2020-12-06T08:24:30+05:30,116
2020-12-06T08:24:31+05:30,116
2020-12-06T08:24:37+05:30,116
2020-12-06T08:24:43+05:30,115
2020-12-06T08:24:50+05:30,114
2020-12-06T08:24:55+05:30,115
2020-12-06T08:24:56+05:30,115
2020-12-06T08:25:02+05:30,114
2020-12-06T08:25:06+05:30,114
2020-12-06T08:25:15+05:30,113
2020-12-06T08:25:18+05:30,114
2020-12-06T08:25:25+05:30,115
2020-12-06T08:25:27+05:30,114
2020-12-06T08:25:33+05:30,114
2020-12-06T08:25:36+05:30,113
2020-12-06T08:25:41+05:30,112
2020-12-06T08:25:46+05:30,110
2020-12-06T08:25:52+05:30,109
2020-12-06T08:26:52+05:30,112
2020-12-06T08:26:58+05:30,111
2020-12-06T08:27:04+05:30,113
2020-12-06T08:27:08+05:30,113
2020-12-06T08:27:14+05:30,113
2020-12-06T08:27:42+05:30,113
2020-12-06T08:27:49+05:30,113
2020-12-06T08:27:52+05:30,112
2020-12-06T08:28:05+05:30,118
2020-12-06T08:28:10+05:30,117
2020-12-06T08:28:13+05:30,117
2020-12-06T08:28:20+05:30,117
2020-12-06T08:28:21+05:30,117
2020-12-06T08:28:29+05:30,116
