time,gFx,gFy,gFz
2020-12-09 23:8:12.9280,-0.029,-0.73,-1.05,1.279
2020-12-09 23:8:12.9290,-0.029,-0.73,-1.05,1.279
2020-12-09 23:8:12.9290,-0.029,-0.73,-1.05,1.279
2020-12-09 23:8:12.9340,-0.026,-0.736,-1.295,1.49
2020-12-09 23:8:12.9440,-0.045,-0.664,-1.482,1.625
2020-12-09 23:8:12.9540,0.014,-0.708,-1.599,1.749
2020-12-09 23:8:12.9650,0.085,-0.8,-1.662,1.846
2020-12-09 23:8:12.9750,0.13,-0.885,-1.604,1.837
2020-12-09 23:8:12.9850,0.076,-0.985,-1.697,1.964
2020-12-09 23:8:12.9950,-0.125,-0.921,-1.836,2.058
2020-12-09 23:8:13.0290,-0.565,-0.588,-1.594,1.79
2020-12-09 23:8:13.0290,-0.565,-0.588,-1.594,1.79
2020-12-09 23:8:13.0290,-0.565,-0.588,-1.594,1.79
2020-12-09 23:8:13.0340,-0.502,-0.565,-1.301,1.505
2020-12-09 23:8:13.0440,-0.373,-0.561,-1.058,1.254
2020-12-09 23:8:13.0540,-0.191,-0.623,-0.906,1.116
2020-12-09 23:8:13.0650,-0.102,-0.688,-0.877,1.119
2020-12-09 23:8:13.0750,-0.12,-0.675,-0.913,1.142
2020-12-09 23:8:13.0850,-0.152,-0.632,-0.9,1.11
2020-12-09 23:8:13.0950,-0.178,-0.573,-0.786,0.989
2020-12-09 23:8:13.1270,-0.281,-0.391,-0.207,0.524
2020-12-09 23:8:13.1270,-0.281,-0.391,-0.207,0.524
2020-12-09 23:8:13.1270,-0.281,-0.391,-0.207,0.524
2020-12-09 23:8:13.1340,-0.299,-0.326,-0.153,0.468
2020-12-09 23:8:13.1450,-0.297,-0.275,-0.185,0.445
2020-12-09 23:8:13.1560,-0.262,-0.234,-0.277,0.447
2020-12-09 23:8:13.1650,-0.221,-0.171,-0.418,0.503
2020-12-09 23:8:13.1760,-0.231,-0.102,-0.541,0.597
2020-12-09 23:8:13.1860,-0.278,-0.045,-0.585,0.649
2020-12-09 23:8:13.1960,-0.312,-0.012,-0.514,0.601
2020-12-09 23:8:13.2290,-0.289,0.116,-0.07,0.319
2020-12-09 23:8:13.2290,-0.289,0.116,-0.07,0.319
2020-12-09 23:8:13.2300,-0.289,0.116,-0.07,0.319
2020-12-09 23:8:13.2340,-0.323,0.153,0.018,0.358
2020-12-09 23:8:13.2450,-0.386,0.168,0.026,0.422
2020-12-09 23:8:13.2550,-0.493,0.176,-0.046,0.525
2020-12-09 23:8:13.2660,-0.647,0.204,-0.133,0.691
2020-12-09 23:8:13.2760,-0.733,0.197,-0.23,0.793
2020-12-09 23:8:13.2870,-0.782,0.125,-0.341,0.862
2020-12-09 23:8:13.2960,-0.83,0.05,-0.43,0.936
2020-12-09 23:8:13.3270,-0.713,-0.403,-0.363,0.896
2020-12-09 23:8:13.3270,-0.713,-0.403,-0.363,0.896
2020-12-09 23:8:13.3270,-0.713,-0.403,-0.363,0.896
2020-12-09 23:8:13.3350,-0.479,-0.684,-0.343,0.903
2020-12-09 23:8:13.3450,-0.276,-0.902,-0.416,1.031
2020-12-09 23:8:13.3560,-0.192,-1.044,-0.632,1.235
2020-12-09 23:8:13.3660,-0.231,-1.096,-1.072,1.55
2020-12-09 23:8:13.3760,-0.394,-1.134,-1.641,2.033
2020-12-09 23:8:13.3870,-0.687,-1.18,-2.084,2.491
2020-12-09 23:8:13.3960,-0.969,-1.176,-2.291,2.751
2020-12-09 23:8:13.4320,-1.085,-1.317,-1.593,2.334
2020-12-09 23:8:13.4320,-1.085,-1.317,-1.593,2.334
2020-12-09 23:8:13.4320,-1.085,-1.317,-1.593,2.334
2020-12-09 23:8:13.4350,-0.869,-1.284,-1.28,2.011
2020-12-09 23:8:13.4450,-0.622,-1.181,-0.979,1.655
2020-12-09 23:8:13.4550,-0.363,-1.068,-0.701,1.328
2020-12-09 23:8:13.4660,-0.12,-0.96,-0.49,1.084
2020-12-09 23:8:13.4760,0.089,-0.898,-0.337,0.963
2020-12-09 23:8:13.4870,0.253,-0.896,-0.236,0.96
2020-12-09 23:8:13.4960,0.365,-0.904,-0.19,0.993
2020-12-09 23:8:13.5280,0.612,-0.889,-0.158,1.091
2020-12-09 23:8:13.5280,0.612,-0.889,-0.158,1.091
2020-12-09 23:8:13.5280,0.612,-0.889,-0.158,1.091
2020-12-09 23:8:13.5350,0.631,-0.886,-0.139,1.097
2020-12-09 23:8:13.5460,0.63,-0.896,-0.103,1.1
2020-12-09 23:8:13.5560,0.618,-0.88,-0.039,1.076
2020-12-09 23:8:13.5660,0.574,-0.842,-0.024,1.019
2020-12-09 23:8:13.5770,0.516,-0.804,-0.066,0.958
2020-12-09 23:8:13.5870,0.417,-0.757,-0.168,0.88
2020-12-09 23:8:13.5960,0.343,-0.696,-0.408,0.877
2020-12-09 23:8:13.6330,0.208,-0.643,-1.205,1.382
2020-12-09 23:8:13.6330,0.208,-0.643,-1.205,1.382
2020-12-09 23:8:13.6330,0.208,-0.643,-1.205,1.382
2020-12-09 23:8:13.6350,0.115,-0.587,-1.463,1.581
2020-12-09 23:8:13.6450,0.012,-0.54,-1.698,1.782
2020-12-09 23:8:13.6560,-0.021,-0.527,-1.771,1.848
2020-12-09 23:8:13.6650,0.014,-0.621,-1.681,1.792
2020-12-09 23:8:13.6770,0.065,-0.766,-1.479,1.667
2020-12-09 23:8:13.6880,0.03,-0.942,-1.382,1.673
2020-12-09 23:8:13.6970,-0.128,-1.1,-1.575,1.925
2020-12-09 23:8:13.7340,-0.96,-0.629,-2.096,2.39
2020-12-09 23:8:13.7350,-0.96,-0.629,-2.096,2.39
2020-12-09 23:8:13.7350,-0.96,-0.629,-2.096,2.39
2020-12-09 23:8:13.7370,-1.068,-0.396,-1.971,2.276
2020-12-09 23:8:13.7460,-1.032,-0.25,-1.744,2.042
2020-12-09 23:8:13.7560,-0.869,-0.262,-1.407,1.674
2020-12-09 23:8:13.7660,-0.676,-0.383,-1.102,1.348
2020-12-09 23:8:13.7770,-0.565,-0.428,-0.845,1.103
2020-12-09 23:8:13.7880,-0.499,-0.425,-0.624,0.905
2020-12-09 23:8:13.7970,-0.486,-0.419,-0.436,0.776
2020-12-09 23:8:13.8290,-0.68,-0.201,-0.074,0.713
2020-12-09 23:8:13.8290,-0.68,-0.201,-0.074,0.713
2020-12-09 23:8:13.8300,-0.68,-0.201,-0.074,0.713
2020-12-09 23:8:13.8360,-0.734,-0.133,0.029,0.747
2020-12-09 23:8:13.8460,-0.805,-0.054,0.099,0.813
2020-12-09 23:8:13.8560,-0.902,0.023,0.134,0.912
2020-12-09 23:8:13.8670,-1.047,0.108,0.154,1.064
2020-12-09 23:8:13.8770,-1.21,0.189,0.182,1.238
2020-12-09 23:8:13.8890,-1.304,0.241,0.254,1.35
2020-12-09 23:8:13.8970,-1.259,0.232,0.39,1.338
2020-12-09 23:8:13.9320,-0.643,0.104,1.082,1.263
2020-12-09 23:8:13.9320,-0.643,0.104,1.082,1.263
2020-12-09 23:8:13.9320,-0.643,0.104,1.082,1.263
2020-12-09 23:8:13.9360,-0.475,0.141,1.156,1.258
2020-12-09 23:8:13.9460,-0.393,0.248,1.048,1.146
2020-12-09 23:8:13.9560,-0.35,0.34,0.831,0.964
2020-12-09 23:8:13.9670,-0.323,0.361,0.579,0.755
2020-12-09 23:8:13.9770,-0.344,0.318,0.293,0.553
2020-12-09 23:8:13.9880,-0.431,0.284,-0.067,0.52
2020-12-09 23:8:13.9970,-0.543,0.213,-0.586,0.827
2020-12-09 23:8:14.0310,-0.434,-0.473,-1.52,1.65
2020-12-09 23:8:14.0310,-0.434,-0.473,-1.52,1.65
2020-12-09 23:8:14.0310,-0.434,-0.473,-1.52,1.65
